day,timestamp,symbol,trades,traded_qty,signed_qty,buy_trades,sell_trades,neutral_trades,unknown_trades,net_buy_ratio
-2,900,TOMATOES,1,2,2,1,0,0,0,1.0
-2,1700,TOMATOES,1,3,3,1,0,0,0,1.0
-2,4000,EMERALDS,1,7,7,1,0,0,0,1.0
-2,4100,TOMATOES,1,3,3,1,0,0,0,1.0
-2,5200,EMERALDS,1,5,-5,0,1,0,0,-1.0
-2,6700,TOMATOES,1,5,-5,0,1,0,0,-1.0
-2,7100,TOMATOES,1,3,3,1,0,0,0,1.0
-2,10500,EMERALDS,1,5,5,1,0,0,0,1.0
-2,11200,TOMATOES,1,4,-4,0,1,0,0,-1.0
-2,11300,EMERALDS,1,3,-3,0,1,0,0,-1.0
-2,12700,TOMATOES,1,2,2,1,0,0,0,1.0
-2,13600,TOMATOES,1,2,-2,0,1,0,0,-1.0
-2,14100,TOMATOES,1,2,2,1,0,0,0,1.0
-2,17100,TOMATOES,1,4,-4,0,1,0,0,-1.0
-2,17800,TOMATOES,1,5,-5,0,1,0,0,-1.0
-2,18000,TOMATOES,1,3,-3,0,1,0,0,-1.0
-2,22800,EMERALDS,1,6,-6,0,1,0,0,-1.0
-2,24000,TOMATOES,1,5,5,1,0,0,0,1.0
-2,27300,TOMATOES,1,5,-5,0,1,0,0,-1.0
-2,32700,TOMATOES,1,3,3,1,0,0,0,1.0
-2,35600,EMERALDS,1,5,-5,0,1,0,0,-1.0
-2,38300,EMERALDS,1,4,4,1,0,0,0,1.0
-2,38800,EMERALDS,1,6,-6,0,1,0,0,-1.0
-2,39000,TOMATOES,1,5,5,1,0,0,0,1.0
-2,41700,TOMATOES,1,2,-2,0,1,0,0,-1.0
-2,42100,EMERALDS,1,8,8,1,0,0,0,1.0
-2,43200,TOMATOES,1,3,-3,0,1,0,0,-1.0
-2,45700,EMERALDS,1,4,4,1,0,0,0,1.0
-2,47000,EMERALDS,1,4,4,1,0,0,0,1.0
-2,51500,TOMATOES,1,2,-2,0,1,0,0,-1.0
-2,53500,EMERALDS,1,6,-6,0,1,0,0,-1.0
-2,62900,EMERALDS,1,5,5,1,0,0,0,1.0
-2,65000,TOMATOES,1,5,5,1,0,0,0,1.0
-2,65500,EMERALDS,1,5,-5,0,1,0,0,-1.0
-2,67000,TOMATOES,1,5,5,1,0,0,0,1.0
-2,68300,TOMATOES,1,2,2,1,0,0,0,1.0
-2,68700,TOMATOES,1,4,4,1,0,0,0,1.0
-2,69000,TOMATOES,1,5,-5,0,1,0,0,-1.0
-2,73400,TOMATOES,1,5,5,1,0,0,0,1.0
-2,84300,EMERALDS,1,8,-8,0,1,0,0,-1.0
-2,91000,EMERALDS,1,3,3,1,0,0,0,1.0
-2,92800,EMERALDS,1,6,-6,0,1,0,0,-1.0
-2,93000,TOMATOES,1,5,-5,0,1,0,0,-1.0
-2,93300,TOMATOES,1,3,-3,0,1,0,0,-1.0
-2,98800,TOMATOES,1,3,3,1,0,0,0,1.0
-2,99600,TOMATOES,1,4,4,1,0,0,0,1.0
-2,103000,TOMATOES,1,3,-3,0,1,0,0,-1.0
-2,104300,EMERALDS,1,6,6,1,0,0,0,1.0
-2,104600,TOMATOES,1,3,-3,0,1,0,0,-1.0
-2,111900,EMERALDS,1,7,-7,0,1,0,0,-1.0
-2,112000,TOMATOES,1,5,-5,0,1,0,0,-1.0
-2,114400,TOMATOES,1,2,-2,0,1,0,0,-1.0
-2,115300,TOMATOES,1,4,-4,0,1,0,0,-1.0
